fpr,tpr,threshold
0.0,0.0,1.9849999999999999
0.0,0.008,0.985
0.0,0.016,0.975
0.0,0.032,0.97
0.0,0.08,0.96
0.0,0.112,0.955
0.0,0.128,0.945
0.0,0.152,0.94
0.0,0.168,0.935
0.0,0.184,0.92
0.0,0.208,0.91
0.0,0.224,0.905
0.0,0.232,0.9
0.0,0.248,0.895
0.0,0.256,0.89
0.0,0.304,0.88
0.0,0.32,0.865
0.008,0.328,0.86
0.008,0.336,0.855
0.008,0.352,0.85
0.016,0.368,0.845
0.016,0.376,0.84
0.024,0.384,0.835
0.024,0.392,0.83
0.032,0.408,0.825
0.048,0.432,0.82
0.056,0.432,0.815
0.056,0.448,0.8
0.056,0.464,0.795
0.064,0.464,0.79
0.064,0.504,0.785
0.072,0.512,0.78
0.072,0.52,0.775
0.08,0.544,0.77
0.08,0.552,0.765
0.088,0.56,0.76
0.088,0.584,0.755
0.096,0.584,0.75
0.096,0.6,0.735
0.096,0.624,0.73
0.096,0.632,0.725
0.096,0.68,0.715
0.096,0.688,0.71
0.112,0.688,0.7
0.112,0.712,0.67
0.12,0.712,0.665
0.12,0.728,0.645
0.136,0.744,0.625
0.16,0.76,0.62
0.16,0.776,0.615
0.176,0.776,0.6
0.192,0.784,0.595
0.192,0.8,0.58
0.2,0.8,0.575
0.2,0.816,0.565
0.208,0.824,0.555
0.208,0.832,0.55
0.216,0.832,0.545
0.216,0.84,0.54
0.24,0.84,0.525
0.256,0.872,0.51
0.264,0.872,0.505
0.264,0.896,0.48
0.28,0.896,0.465
0.288,0.904,0.46
0.288,0.912,0.455
0.296,0.912,0.44
0.304,0.92,0.41
0.304,0.928,0.405
0.304,0.944,0.4
0.312,0.944,0.385
0.312,0.952,0.38
0.32,0.96,0.375
0.328,0.96,0.37
0.344,0.96,0.345
0.344,0.968,0.325
0.36,0.968,0.31
0.392,0.968,0.295
0.416,0.968,0.28
0.416,0.976,0.27
0.448,0.976,0.245
0.464,0.976,0.235
0.512,0.976,0.225
0.52,0.976,0.215
0.52,0.984,0.21
0.544,0.984,0.18
0.592,0.984,0.155
0.608,0.984,0.145
0.648,0.992,0.135
0.672,0.992,0.12
0.696,0.992,0.115
0.704,0.992,0.11
0.728,0.992,0.105
0.744,0.992,0.09
0.752,1.0,0.085
0.776,1.0,0.08
0.808,1.0,0.075
0.84,1.0,0.055
0.856,1.0,0.05
0.864,1.0,0.045
0.896,1.0,0.04
0.944,1.0,0.03
0.96,1.0,0.02
1.0,1.0,0.01
